filename,timestamp,bbox_id,mean_color,max_color,min_color,std_color,color_gradient
20232901840_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.eaf63e0959dca9b6ee85a31c557a472a,2023-10-17 18:40:00,0,126.92318244170096,240.0,0.0,41.05236373460777,21.06081390032007
20232901840_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.eaf63e0959dca9b6ee85a31c557a472a,2023-10-17 18:40:00,1,92.60971467391305,175.0,0.0,35.48069822292087,12.540307971014485
20232901850_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.aa90223d7be6fac1e586412d847ac1fe,2023-10-17 18:50:00,0,127.80589849108368,246.0,1.0,42.448549259149374,20.580704160951072
20232901850_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.aa90223d7be6fac1e586412d847ac1fe,2023-10-17 18:50:00,1,96.00154320987654,190.0,0.0,35.946204629253046,8.866255144032934
20232901900_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1a33e1ac7a6b66fb2fd9e59c988efb26,2023-10-17 19:00:00,0,129.3127572016461,239.0,5.0,42.04598846377359,17.713763145861904
20232901900_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1a33e1ac7a6b66fb2fd9e59c988efb26,2023-10-17 19:00:00,1,95.1226222826087,181.0,0.0,36.431930709047684,14.410778985507235
20232901900_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.1a33e1ac7a6b66fb2fd9e59c988efb26,2023-10-17 19:00:00,2,110.85379464285714,242.0,0.0,55.17973723006713,10.83779761904762
20232901910_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.ed5fd1cb080262986c3532cb7fe48824,2023-10-17 19:10:00,0,128.83267195767195,247.0,4.0,42.534266189368424,18.348324514991177
20232901910_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.ed5fd1cb080262986c3532cb7fe48824,2023-10-17 19:10:00,1,97.49579242636746,187.0,4.0,36.379857360454444,13.231416549789628
20232901910_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.ed5fd1cb080262986c3532cb7fe48824,2023-10-17 19:10:00,2,102.03052995391705,232.0,5.0,46.11128707846392,1.811827956989248
20232901920_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.ef5745b55ba8696fec809739d6cd4e04,2023-10-17 19:20:00,0,128.8912037037037,241.0,8.0,41.69547101997473,17.213844797178112
20232901920_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.ef5745b55ba8696fec809739d6cd4e04,2023-10-17 19:20:00,1,100.34166666666667,180.0,4.0,36.51624698941444,11.934343434343432
